sample_id,country,location,pop_code
KT382822.1,NA,NA,MACULATUS
AfNA1,Afghanistan,Nangarhar,APA
AfNA2,Afghanistan,Nangarhar,APA
AfNC4,Afghanistan,Nangarhar,APA
AfNC7,Afghanistan,Nangarhar,APA
AfND7,Afghanistan,Nangarhar,APA
AfND8,Afghanistan,Nangarhar,APA
AfNE1,Afghanistan,Nangarhar,APA
AfNE6,Afghanistan,Nangarhar,APA
AfNE7,Afghanistan,Nangarhar,APA
AfNF1,Afghanistan,Nangarhar,APA
AfNF2,Afghanistan,Nangarhar,APA
AfNG1,Afghanistan,Nangarhar,APA
AfNG8,Afghanistan,Nangarhar,APA
AfNH7,Afghanistan,Nangarhar,APA
AfNH8,Afghanistan,Nangarhar,APA
AfkB9,Afghanistan,Kunar,APA
AfkC4,Afghanistan,Kunar,APA
AfkC5,Afghanistan,Kunar,APA
AfkE3,Afghanistan,Kunar,APA
AfkE4,Afghanistan,Kunar,APA
AfkE5,Afghanistan,Kunar,APA
AfkF3,Afghanistan,Kunar,APA
AfkF4,Afghanistan,Kunar,APA
AfkF7,Afghanistan,Kunar,APA
AfkH3,Afghanistan,Kunar,APA
AfkH4,Afghanistan,Kunar,APA
Babi_I_01,Ethiopia,Babile,ETB
Babi_I_02,Ethiopia,Babile,ETB
Babi_I_03,Ethiopia,Babile,ETB
Babi_I_04,Ethiopia,Babile,ETB
Babi_I_05,Ethiopia,Babile,ETB
Babi_I_06,Ethiopia,Babile,ETB
Babi_I_07,Ethiopia,Babile,ETB
Babi_I_08,Ethiopia,Babile,ETB
Babi_I_09,Ethiopia,Babile,ETB
Babi_I_10,Ethiopia,Babile,ETB
Babi_I_11,Ethiopia,Babile,ETB
Babi_I_12,Ethiopia,Babile,ETB
Babi_I_13,Ethiopia,Babile,ETB
Babi_I_14,Ethiopia,Babile,ETB
Babi_I_15,Ethiopia,Babile,ETB
Babi_I_16,Ethiopia,Babile,ETB
Babi_I_17,Ethiopia,Babile,ETB
Babi_I_18,Ethiopia,Babile,ETB
Babi_I_19,Ethiopia,Babile,ETB
C1aSud001,Sudan,HaiElShati,SUD
C1aSud002,Sudan,AlHideiba,SUD
C1aSud004,Sudan,Tabat,SUD
C1aSud007,Sudan,ElZedab,SUD
C1aSud008,Sudan,ElZedab,SUD
C1aSud009,Sudan,Wafara,SUD
C1aSud011,Sudan,Wafara,SUD
C1aSud012,Sudan,Wafara,SUD
C1aSud015,Sudan,Wafara,SUD
C1aSud018,Sudan,Wafara,SUD
C1aSud020,Sudan,Wafara,SUD
C1aSud022,Sudan,Wafara,SUD
C1aSud023,Sudan,Wafara,SUD
C1aSud024,Sudan,Wafara,SUD
C1aSud025,Sudan,Wafara,SUD
C1aSud027,Sudan,Wafara,SUD
C1aSud028,Sudan,Wafara,SUD
C1aSud029,Sudan,SouthShandi,SUD
C1aSud030,Sudan,SouthShandi,SUD
C1aSud031,Sudan,SouthShandi,SUD
C1aSud032,Sudan,SouthShandi,SUD
C1aSud033,Sudan,SouthShandi,SUD
C1aSud035,Sudan,Agaja,SUD
C1aSud036,Sudan,Agaja,SUD
C1aSud037,Sudan,Agaja,SUD
C1aSud038,Sudan,Agaja,SUD
C1aSud039,Sudan,Agaja,SUD
C1aSud040,Sudan,Agaja,SUD
C1aSud041,Sudan,AlGalaa,SUD
C1aSud042,Sudan,AlGalaa,SUD
C1aSud043,Sudan,AlGalaa,SUD
C1aSud044,Sudan,AlGalaa,SUD
C1aSud045,Sudan,AlGalaa,SUD
C1aSud046,Sudan,AlGalaa,SUD
C1aSud047,Sudan,AlGalaa,SUD
C1aSud048,Sudan,AlGalaa,SUD
C1aSud049,Sudan,AlGalaa,SUD
C1aSud050,Sudan,AlGalaa,SUD
C1aSud051,Sudan,AlGalaa,SUD
C1aSud052,Sudan,AlGalaa,SUD
C1aSud053,Sudan,AlGalaa,SUD
C1aSud054,Sudan,AlGalaa,SUD
C1aSud055,Sudan,AlGalaa,SUD
C1aSud058,Sudan,AlGalaa,SUD
C1aSud059,Sudan,AlGalaa,SUD
C1aSud060,Sudan,AlGalaa,SUD
C1aSud061,Sudan,AlGalaa,SUD
C1aSud063,Sudan,AlShukria,SUD
C1aSud065,Sudan,AlShukria,SUD
C1aSud066,Sudan,AlShukria,SUD
C1aSud067,Sudan,AlShukria,SUD
C1aSud068,Sudan,AlShukria,SUD
C1aSud069,Sudan,AlShukria,SUD
C1aSud070,Sudan,AlShukria,SUD
C1aSud071,Sudan,AlShukria,SUD
C1aSud072,Sudan,ElMeaileg,SUD
C1aSud073,Sudan,ElMeaileg,SUD
C1aSud074,Sudan,ElMeaileg,SUD
C1aSud075,Sudan,ElMeaileg,SUD
C1aSud076,Sudan,ElMeaileg,SUD
C1aSud077,Sudan,Agaja,SUD
C1aSud078,Sudan,ElZedab,SUD
C1aSud080,Sudan,GeziraIslang,SUD
C1aSud081,Sudan,GeziraIslang,SUD
C1aSud082,Sudan,GeziraIslang,SUD
C1aSud083,Sudan,ElSalamaniaWest,SUD
C1aSud086,Sudan,Arkaweet,SUD
C1aSud087,Sudan,Arkaweet,SUD
C1aSud088,Sudan,Arkaweet,SUD
C1aSud089,Sudan,Arkaweet,SUD
C1aSud090,Sudan,Arkaweet,SUD
C1aSud092,Sudan,Arkaweet,SUD
C1aSud093,Sudan,Arkaweet,SUD
C1aSud094,Sudan,GeziraIslang,SUD
C1aSud095,Sudan,GeziraIslang,SUD
C1aSud096,Sudan,GeziraIslang,SUD
C1aSud097,Sudan,GeziraIslang,SUD
C1aSud098,Sudan,Haiya,SUD
C1aSud099,Sudan,Haiya,SUD
C1aSud100,Sudan,Haiya,SUD
C1aSud101,Sudan,Haiya,SUD
C1aSud102,Sudan,Haiya,SUD
C1aSud103,Sudan,Haiya,SUD
C1aSud105,Sudan,Haiya,SUD
C1aSud106,Sudan,Haiya,SUD
C1aSud107,Sudan,Haiya,SUD
C1aSud108,Sudan,Haiya,SUD
C1aSud110,Sudan,Haiya,SUD
C1aSud112,Sudan,Haiya,SUD
C1aSud113,Sudan,Haiya,SUD
C1aSud115,Sudan,Haiya,SUD
C1aSud116,Sudan,Haiya,SUD
C1aSud117,Sudan,Haiya,SUD
C1aSud118,Sudan,Haiya,SUD
C1aSud119,Sudan,Haiya,SUD
C1aSud120,Sudan,Haiya,SUD
C1aSud121,Sudan,Haiya,SUD
C1aSud122,Sudan,Haiya,SUD
C1aSud123,Sudan,Haiya,SUD
C1aSud124,Sudan,Haiya,SUD
C1aSud125,Sudan,Haiya,SUD
C1aSud126,Sudan,Haiya,SUD
C1aSud127,Sudan,Haiya,SUD
C1aSud128,Sudan,Haiya,SUD
C1aSud130,Sudan,Haiya,SUD
C1aSud131,Sudan,Haiya,SUD
C1aSud132,Sudan,Haiya,SUD
C1aSud134,Sudan,Haiya,SUD
C1aSud137,Sudan,EastElglabat,SUD
C1aSud138,Sudan,EastElglabat,SUD
C1aSud142,Sudan,EastElglabat,SUD
C1aSud143,Sudan,EastElglabat,SUD
C1aSud144,Sudan,EastElglabat,SUD
C1aSud146,Sudan,EastElglabat,SUD
C1aSud148,Sudan,EastElglabat,SUD
C1aSud150,Sudan,EastElglabat,SUD
C1aSud152,Sudan,EastElglabat,SUD
C1aSud153,Sudan,EastElglabat,SUD
C1aSud154,Sudan,EastElglabat,SUD
C1aSud157,Sudan,EastElglabat,SUD
C1aSud160,Sudan,EastElglabat,SUD
C1aSud162,Sudan,ElZedab,SUD
C1aSud163,Sudan,ElZedab,SUD
C1aSud164,Sudan,Arkaweet,SUD
C1aSud165,Sudan,Arkaweet,SUD
C1aSud166,Sudan,Arkaweet,SUD
C1aSud167,Sudan,Arkaweet,SUD
C1aSud168,Sudan,Arkaweet,SUD
C1aSud171,Sudan,Arkaweet,SUD
C1aSud173,Sudan,Arkaweet,SUD
C1aSud174,Sudan,Arkaweet,SUD
C1aSud175,Sudan,Arkaweet,SUD
C1aSud176,Sudan,Agaja,SUD
C1aSud177,Sudan,Agaja,SUD
C1aSud178,Sudan,Agaja,SUD
C1aSud179,Sudan,Agaja,SUD
C1aSud181,Sudan,Agaja,SUD
C1aSud182,Sudan,PortSudan,SUD
C1aSud184,Sudan,PortSudan,SUD
C1aSud185,Sudan,PortSudan,SUD
C1aSud186,Sudan,PortSudan,SUD
C1aSud187,Sudan,PortSudan,SUD
C1aSud188,Sudan,PortSudan,SUD
C1aSud190,Sudan,PortSudan,SUD
C1aSud191,Sudan,PortSudan,SUD
C1aSud193,Sudan,PortSudan,SUD
C1aSud195,Sudan,PortSudan,SUD
C1aSud196,Sudan,PortSudan,SUD
C1aSud198,Sudan,PortSudan,SUD
C1aSud199,Sudan,ElSalamaniaWest,SUD
C1aSud200,Sudan,ElSalamaniaWest,SUD
C1aSud201,Sudan,ElSalamaniaWest,SUD
C1aSud202,Sudan,ElSalamaniaWest,SUD
C1aSud203,Sudan,ElSalamaniaWest,SUD
C1aSud204,Sudan,ElSalamaniaWest,SUD
C1aSud205,Sudan,ElSalamaniaWest,SUD
C1aSud206,Sudan,ElSalamaniaWest,SUD
C1aSud207,Sudan,ElSalamaniaWest,SUD
C1aSud208,Sudan,ElSalamaniaWest,SUD
C1aSud209,Sudan,ElSalamaniaWest,SUD
C1aSud210,Sudan,ElSalamaniaWest,SUD
C1aSud211,Sudan,ElSalamaniaWest,SUD
C1aSud213,Sudan,ElSalamaniaWest,SUD
C1aSud214,Sudan,ElSalamaniaWest,SUD
C1aSud216,Sudan,ElSalamaniaWest,SUD
C1aSud217,Sudan,ElSalamaniaWest,SUD
C1aSud218,Sudan,ElSalamaniaWest,SUD
C1aSud220,Sudan,ElSalamaniaWest,SUD
C1aSud221,Sudan,ElSalamaniaWest,SUD
C1aSud222,Sudan,ElSalamaniaWest,SUD
C1aSud223,Sudan,ElSalamaniaWest,SUD
C1aSud224,Sudan,ElSalamaniaWest,SUD
C1aSud225,Sudan,ElSalamaniaWest,SUD
C1aSud226,Sudan,ElSalamaniaWest,SUD
C1aSud227,Sudan,ElSalamaniaWest,SUD
C1aSud228,Sudan,ElSalamaniaWest,SUD
C1aSud229,Sudan,ElSalamaniaWest,SUD
C1aSud230,Sudan,ElSalamaniaWest,SUD
C1aSud231,Sudan,ElSalamaniaWest,SUD
C1aSud232,Sudan,ElSalamaniaWest,SUD
DAsgPak035,Pakistan,Asgharo,APA
DAzCPak017,Pakistan,Azakhel,APA
DAzCPak018,Pakistan,Azakhel,APA
DAzCPak019,Pakistan,Azakhel,APA
DLakPak026,Pakistan,Lakhtibanda,APA
Dana_I_04,Ethiopia,Danan,ETS
Dana_I_12,Ethiopia,Danan,ETS
Dana_I_13,Ethiopia,Danan,ETS
Dana_I_14,Ethiopia,Danan,ETS
Dana_I_16,Ethiopia,Danan,ETS
Dana_I_17,Ethiopia,Danan,ETS
Dana_I_18,Ethiopia,Danan,ETS
Dana_I_19,Ethiopia,Danan,ETS
Dana_I_20,Ethiopia,Danan,ETS
Dana_I_21,Ethiopia,Danan,ETS
Dana_I_22,Ethiopia,Danan,ETS
Dana_I_23,Ethiopia,Danan,ETS
Dana_I_24,Ethiopia,Danan,ETS
Dana_I_25,Ethiopia,Danan,ETS
Dana_I_26,Ethiopia,Danan,ETS
Dana_I_27,Ethiopia,Danan,ETS
Dana_I_28,Ethiopia,Danan,ETS
Dana_I_29,Ethiopia,Danan,ETS
Dana_I_30,Ethiopia,Danan,ETS
Djib_F_01,Djibouti,DjiboutiCity,DJI
Djib_F_03,Djibouti,DjiboutiCity,DJI
Djib_F_04,Djibouti,DjiboutiCity,DJI
Djib_F_05,Djibouti,DjiboutiCity,DJI
Djib_F_06,Djibouti,DjiboutiCity,DJI
Djib_F_07,Djibouti,DjiboutiCity,DJI
Djib_F_08,Djibouti,DjiboutiCity,DJI
Djib_F_10,Djibouti,DjiboutiCity,DJI
Djib_F_11,Djibouti,DjiboutiCity,DJI
Djib_F_12,Djibouti,DjiboutiCity,DJI
Djib_F_13,Djibouti,DjiboutiCity,DJI
Djib_F_15,Djibouti,DjiboutiCity,DJI
Djib_F_16,Djibouti,DjiboutiCity,DJI
Djib_F_17,Djibouti,DjiboutiCity,DJI
Djib_F_19,Djibouti,DjiboutiCity,DJI
Djib_F_21,Djibouti,DjiboutiCity,DJI
Djib_F_22,Djibouti,DjiboutiCity,DJI
Djib_F_24,Djibouti,DjiboutiCity,DJI
Djib_F_26,Djibouti,DjiboutiCity,DJI
Djib_F_27,Djibouti,DjiboutiCity,DJI
Djib_F_28,Djibouti,DjiboutiCity,DJI
Djib_F_29,Djibouti,DjiboutiCity,DJI
Dubt_I_02,Ethiopia,Dubti,ETW
Dubt_I_03,Ethiopia,Dubti,ETW
Dubt_I_04,Ethiopia,Dubti,ETW
Dubt_I_05,Ethiopia,Dubti,ETW
Dubt_I_06,Ethiopia,Dubti,ETW
Dubt_I_07,Ethiopia,Dubti,ETW
Dubt_I_10,Ethiopia,Dubti,ETW
Dubt_I_12,Ethiopia,Dubti,ETW
Dubt_I_15,Ethiopia,Dubti,ETW
Dubt_I_16,Ethiopia,Dubti,ETW
Dubt_I_19,Ethiopia,Dubti,ETW
Dubt_I_20,Ethiopia,Dubti,ETW
Dubt_I_22,Ethiopia,Dubti,ETW
Dubt_I_23,Ethiopia,Dubti,ETW
Dubt_I_26,Ethiopia,Dubti,ETW
Dubt_I_27,Ethiopia,Dubti,ETW
Dubt_I_28,Ethiopia,Dubti,ETW
Dubt_I_30,Ethiopia,Dubti,ETW
E10,SaudiArabia,AlHofuf,SAE
E12,SaudiArabia,AlHofuf,SAE
E20,SaudiArabia,AlHofuf,SAE
E23,SaudiArabia,AlHofuf,SAE
E24,SaudiArabia,AlHofuf,SAE
E27,SaudiArabia,AlHofuf,SAE
E29,SaudiArabia,AlHofuf,SAE
E31,SaudiArabia,AlHofuf,SAE
E33,SaudiArabia,AlHofuf,SAE
E34,SaudiArabia,AlHofuf,SAE
E35,SaudiArabia,AlHofuf,SAE
E37,SaudiArabia,AlHofuf,SAE
E39,SaudiArabia,AlHofuf,SAE
E41,SaudiArabia,AlHofuf,SAE
E42,SaudiArabia,AlHofuf,SAE
E43,SaudiArabia,AlHofuf,SAE
E45,SaudiArabia,AlHofuf,SAE
E46,SaudiArabia,AlHofuf,SAE
E47,SaudiArabia,AlHofuf,SAE
E5,SaudiArabia,AlHofuf,SAE
E8,SaudiArabia,AlHofuf,SAE
E9,SaudiArabia,AlHofuf,SAE
I2_42_1,Iran,Chabahar,IRS
I2_42_2,Iran,Chabahar,IRS
I2_42_3,Iran,Chabahar,IRS
I2_42_5,Iran,Chabahar,IRS
I2_43_1,Iran,Chabahar,IRS
I2_43_2,Iran,Chabahar,IRS
I2_43_4,Iran,Chabahar,IRS
I2_43_5,Iran,Chabahar,IRS
I2_43_6,Iran,Chabahar,IRS
I2_44_1,Iran,Chabahar,IRS
I2_44_2,Iran,Chabahar,IRS
I2_44_3,Iran,Chabahar,IRS
I2_44_4,Iran,Chabahar,IRS
I2_44_5,Iran,Chabahar,IRS
I2_45_2,Iran,Chabahar,IRS
I2_45_4,Iran,Chabahar,IRS
I2_46_1,Iran,Chabahar,IRS
I2_46_2,Iran,Chabahar,IRS
I2_46_3,Iran,Chabahar,IRS
I2_46_5,Iran,Chabahar,IRS
I2_48_1,Iran,Chabahar,IRS
I2_48_2,Iran,Chabahar,IRS
I2_48_4,Iran,Chabahar,IRS
I2_48_5,Iran,Chabahar,IRS
I2_49_1,Iran,Chabahar,IRS
I3_57_2,Iran,Saravan,IRS
I3_57_4,Iran,Saravan,IRS
I3_57_5,Iran,Saravan,IRS
I3_58_1,Iran,Saravan,IRS
I3_58_2,Iran,Saravan,IRS
I3_58_3,Iran,Saravan,IRS
I3_58_4,Iran,Saravan,IRS
I3_58_5,Iran,Saravan,IRS
I3_59_1,Iran,Saravan,IRS
I3_59_2,Iran,Saravan,IRS
I3_59_3,Iran,Saravan,IRS
I3_59_4,Iran,Saravan,IRS
I3_59_5,Iran,Saravan,IRS
I3_60_1,Iran,Saravan,IRS
I3_60_2,Iran,Saravan,IRS
I3_60_3,Iran,Saravan,IRS
I3_60_5,Iran,Saravan,IRS
I3_61_3,Iran,Saravan,IRS
I3_61_4,Iran,Saravan,IRS
I3_62_3,Iran,Saravan,IRS
I3_62_5,Iran,Saravan,IRS
I3_63_2,Iran,Saravan,IRS
I3_64_1,Iran,Saravan,IRS
I3_64_3,Iran,Saravan,IRS
I3_64_5,Iran,Saravan,IRS
I4_68_1,Iran,Bandar Abbas,IRH
I4_68_2,Iran,Bandar Abbas,IRH
I4_68_3,Iran,Bandar Abbas,IRH
I4_68_4,Iran,Bandar Abbas,IRH
I4_68_5,Iran,Bandar Abbas,IRH
I4_68_6,Iran,Bandar Abbas,IRH
I4_69_1,Iran,Bandar Abbas,IRH
I4_69_10,Iran,Bandar Abbas,IRH
I4_69_4,Iran,Bandar Abbas,IRH
I4_69_5,Iran,Bandar Abbas,IRH
I4_69_7,Iran,Bandar Abbas,IRH
I4_69_9,Iran,Bandar Abbas,IRH
I4_70_10,Iran,Bandar Abbas,IRH
I4_70_11,Iran,Bandar Abbas,IRH
I4_70_2,Iran,Bandar Abbas,IRH
I4_70_3,Iran,Bandar Abbas,IRH
I4_70_4,Iran,Bandar Abbas,IRH
I4_70_5,Iran,Bandar Abbas,IRH
I4_70_6,Iran,Bandar Abbas,IRH
I4_70_7,Iran,Bandar Abbas,IRH
I4_70_9,Iran,Bandar Abbas,IRH
I4_71_1,Iran,Bandar Abbas,IRH
I4_71_2,Iran,Bandar Abbas,IRH
I4_71_4,Iran,Bandar Abbas,IRH
I4_71_5,Iran,Bandar Abbas,IRH
Jiga_I_01,Ethiopia,Jiga,ETW
Jiga_I_02,Ethiopia,Jiga,ETW
Jiga_I_03,Ethiopia,Jiga,ETW
Jiga_I_04,Ethiopia,Jiga,ETW
Jiga_I_05,Ethiopia,Jiga,ETW
Jiga_I_07,Ethiopia,Jiga,ETW
Kebr_I_01,Ethiopia,KebriDehar,ETS
Kebr_I_02,Ethiopia,KebriDehar,ETS
Kebr_I_03,Ethiopia,KebriDehar,ETS
Kebr_I_04,Ethiopia,KebriDehar,ETS
Kebr_I_06,Ethiopia,KebriDehar,ETS
Kebr_I_07,Ethiopia,KebriDehar,ETS
Kebr_I_08,Ethiopia,KebriDehar,ETS
Kebr_I_09,Ethiopia,KebriDehar,ETS
Kebr_I_10,Ethiopia,KebriDehar,ETS
Kebr_I_11,Ethiopia,KebriDehar,ETS
Kebr_I_12,Ethiopia,KebriDehar,ETS
Kebr_I_13,Ethiopia,KebriDehar,ETS
Kebr_I_14,Ethiopia,KebriDehar,ETS
Kebr_I_15,Ethiopia,KebriDehar,ETS
Kebr_I_16,Ethiopia,KebriDehar,ETS
Kebr_I_17,Ethiopia,KebriDehar,ETS
Kebr_I_18,Ethiopia,KebriDehar,ETS
Kebr_I_19,Ethiopia,KebriDehar,ETS
Kebr_I_20,Ethiopia,KebriDehar,ETS
Modj_A_03,Ethiopia,Modjo,ETW
Modj_A_07,Ethiopia,Modjo,ETW
Modj_A_08,Ethiopia,Modjo,ETW
Modj_A_11,Ethiopia,Modjo,ETW
Modj_A_16,Ethiopia,Modjo,ETW
Modj_A_25,Ethiopia,Modjo,ETW
Modj_A_26,Ethiopia,Modjo,ETW
Modj_A_28,Ethiopia,Modjo,ETW
Modj_A_31,Ethiopia,Modjo,ETW
Modj_I_01,Ethiopia,Modjo,ETW
Modj_I_02,Ethiopia,Modjo,ETW
Modj_I_04,Ethiopia,Modjo,ETW
Modj_I_05,Ethiopia,Modjo,ETW
Modj_I_07,Ethiopia,Modjo,ETW
Modj_I_08,Ethiopia,Modjo,ETW
Modj_I_09,Ethiopia,Modjo,ETW
Modj_I_10,Ethiopia,Modjo,ETW
Modj_I_25,Ethiopia,Modjo,ETW
Modj_I_29,Ethiopia,Modjo,ETW
Modj_I_31,Ethiopia,Modjo,ETW
MuzSud233,Sudan,PortSudan,SUD
MuzSud234,Sudan,PortSudan,SUD
MuzSud236,Sudan,PortSudan,SUD
MuzSud237,Sudan,PortSudan,SUD
MuzSud238,Sudan,PortSudan,SUD
MuzSud239,Sudan,PortSudan,SUD
MuzSud240,Sudan,PortSudan,SUD
MuzSud241,Sudan,PortSudan,SUD
MuzSud243,Sudan,PortSudan,SUD
MuzSud244,Sudan,PortSudan,SUD
MuzSud245,Sudan,PortSudan,SUD
MuzSud246,Sudan,PortSudan,SUD
MuzSud247,Sudan,PortSudan,SUD
MuzSud248,Sudan,PortSudan,SUD
MuzSud249,Sudan,PortSudan,SUD
MuzSud250,Sudan,PortSudan,SUD
PMJDE2,Pakistan,Azakhel,APA
PMJDE4,Pakistan,Azakhel,APA
PMJDF4,Pakistan,Azakhel,APA
PMJDG2,Pakistan,Azakhel,APA
PMJDG4,Pakistan,Azakhel,APA
PMJDH2,Pakistan,Azakhel,APA
PMJDH3,Pakistan,Azakhel,APA
Plate1_A2,Sudan,Wafara,SUD
Plate1_A4,Sudan,Wafara,SUD
Plate1_B3,Sudan,Wafara,SUD
Plate1_D2,Sudan,Wafara,SUD
Plate1_D3,Sudan,Wafara,SUD
Plate1_E12,Sudan,Haiya,SUD
Plate1_E2,Sudan,Wafara,SUD
Plate1_G12,Sudan,Haiya,SUD
Plate1_G2,Sudan,Wafara,SUD
Plate1_H10,Sudan,ElSalamaniaWest,SUD
Plate1_H12,Sudan,Haiya,SUD
Plate1_H2,Sudan,Wafara,SUD
Plate2_A10,Sudan,ElSalamaniaWest,SUD
Plate2_A3,Sudan,EastElglabat,SUD
Plate2_A6,Sudan,Arkaweet,SUD
Plate2_A9,Sudan,PortSudan,SUD
Plate2_B1,Sudan,Haiya,SUD
Plate2_B11,Sudan,PortSudan,SUD
Plate2_B4,Sudan,EastElglabat,SUD
Plate2_B5,Sudan,EastElglabat,SUD
Plate2_B6,Sudan,Arkaweet,SUD
Plate2_B8,Sudan,PortSudan,SUD
Plate2_C2,Sudan,Haiya,SUD
Plate2_D2,Sudan,Haiya,SUD
Plate2_D8,Sudan,PortSudan,SUD
Plate2_E12,Sudan,PortSudan,SUD
Plate2_E2,Sudan,Haiya,SUD
Plate2_E7,Sudan,PortSudan,SUD
Plate2_F12,Sudan,PortSudan,SUD
Plate2_F2,Sudan,Haiya,SUD
Plate2_F8,Sudan,PortSudan,SUD
Plate2_G11,Sudan,PortSudan,SUD
Plate2_G4,Sudan,EastElglabat,SUD
Plate2_H5,Sudan,Arkaweet,SUD
Plate2_H9,Sudan,ElSalamaniaWest,SUD
QAzCPak030,Pakistan,Azakhel,APA
QAzCPak062,Pakistan,Azakhel,APA
QNagPak004,Pakistan,Naguman,APA
QNagPak012,Pakistan,Naguman,APA
QNagpak028,Pakistan,Naguman,APA
R1,SaudiArabia,Riyadh,SAR
R11B,SaudiArabia,Riyadh,SAR
R16,SaudiArabia,Riyadh,SAR
R17B,SaudiArabia,Riyadh,SAR
R17,SaudiArabia,Riyadh,SAR
R17D,SaudiArabia,Riyadh,SAR
R17E,SaudiArabia,Riyadh,SAR
R17F,SaudiArabia,Riyadh,SAR
R1C,SaudiArabia,Riyadh,SAR
R1D,SaudiArabia,Riyadh,SAR
R1E,SaudiArabia,Riyadh,SAR
R20,SaudiArabia,Riyadh,SAR
R20B,SaudiArabia,Riyadh,SAR
R21,SaudiArabia,Riyadh,SAR
R22,SaudiArabia,Riyadh,SAR
R3,SaudiArabia,Riyadh,SAR
R3D,SaudiArabia,Riyadh,SAR
R3E,SaudiArabia,Riyadh,SAR
R4,SaudiArabia,Riyadh,SAR
R5,SaudiArabia,Riyadh,SAR
SRR15257906,India,Bangalore,INB
SRR15257908,India,Bangalore,INB
SRR15257909,India,Bangalore,INB
SRR15257910,India,Bangalore,INB
SRR15257912,India,Bangalore,INB
SRR15257913,India,Bangalore,INB
SRR15257914,India,Bangalore,INB
SRR15257915,India,Bangalore,INB
SRR15293886,India,Mangalore,INM
SRR15293887,India,Mangalore,INM
SRR15293888,India,Mangalore,INM
SRR15293889,India,Mangalore,INM
SRR15293892,India,Mangalore,INM
SRR15293893,India,Mangalore,INM
SRR15293894,India,Mangalore,INM
Yem001,Yemen,AdenCity,YEM
Yem002,Yemen,AdenCity,YEM
Yem006,Yemen,AdenCity,YEM
Yem008,Yemen,AdenCity,YEM
Yem011,Yemen,AdenCity,YEM
Yem012,Yemen,AdenCity,YEM
Yeme_A_01,Yemen,AdenCity,YEM
Yeme_A_02,Yemen,AdenCity,YEM
Yeme_A_03,Yemen,AdenCity,YEM
Yeme_A_04,Yemen,AdenCity,YEM
Yeme_A_05,Yemen,AdenCity,YEM
Yeme_A_06,Yemen,AdenCity,YEM
Yeme_A_08,Yemen,AdenCity,YEM
Yeme_A_09,Yemen,AdenCity,YEM
Yeme_A_10,Yemen,AdenCity,YEM
Yeme_A_11,Yemen,AdenCity,YEM
Yeme_A_12,Yemen,AdenCity,YEM
Yeme_A_13,Yemen,AdenCity,YEM
Yeme_A_14,Yemen,AdenCity,YEM
Yeme_A_15,Yemen,AdenCity,YEM
Yeme_A_17,Yemen,AdenCity,YEM
Yeme_A_19,Yemen,AdenCity,YEM